# Start Time         End Time			Quality
2016-01-02/01:54:00,2016-01-02/01:55:00,1
2016-01-11/05:37:30,2016-01-11/05:38:30,1
2016-11-09/12:10:00,2016-11-09/12:12:00,3
2016-11-09/12:19:30,2016-11-09/12:20:30,1
2016-11-09/12:39:30,2016-11-09/12:41:00,3
2016-11-09/14:08:30,2016-11-09/14:09:30,1
2016-11-10/16:58:30,2016-11-10/16:59:30,1
2016-11-10/17:09:30,2016-11-10/17:10:30,1
2016-11-12/12:28:30,2016-11-12/12:29:30,1
2016-11-12/12:31:00,2016-11-12/12:32:00,1
2016-11-21/11:50:30,2016-11-21/11:52:30,3
2016-11-21/11:54:30,2016-11-21/11:57:30,3
2016-12-06/09:42:30,2016-12-06/09:44:00,1
2016-12-06/09:46:00,2016-12-06/09:47:00,1
2016-12-06/10:29:30,2016-12-06/10:30:30,1
2016-12-06/10:37:30,2016-12-06/10:38:00,1
2016-12-06/10:54:30,2016-12-06/10:55:00,3
2016-12-06/10:59:30,2016-12-06/11:00:30,2
2016-12-06/11:17:30,2016-12-06/11:18:30,1
2016-12-06/12:04:00,2016-12-06/12:04:30,1
2016-12-07/14:36:00,2016-12-07/14:37:00,1
2016-12-07/15:16:00,2016-12-07/15:17:00,1
2016-12-07/16:33:00,2016-12-07/16:34:00,1
2016-12-07/16:37:00,2016-12-07/16:38:30,1
2016-12-09/10:29:00,2016-12-09/10:29:30,1
2016-12-09/11:27:30,2016-12-09/11:29:00,3
2016-12-09/11:45:00,2016-12-09/11:46:00,1
2016-12-09/11:48:00,2016-12-09/11:49:00,1
2016-12-17/10:15:00,2016-12-17/10:19:00,3
2016-12-17/12:06:30,2016-12-17/12:07:30,1
2016-12-18/07:35:00,2016-12-18/07:36:00,3
2016-12-21/12:04:00,2016-12-21/12:04:30,1
2016-12-21/12:08:00,2016-12-21/12:09:00,1
2016-12-23/07:19:30,2016-12-23/07:20:00,1
2016-12-26/07:56:00,2016-12-26/07:57:00,1
2016-12-26/07:59:00,2016-12-26/08:00:00,1
2016-12-31/12:39:20,2016-12-31/12:39:40,2
