# label,Ne1_avg,Ne1_err,Ni1_avg,Ni1_err,Uex1_avg,Uex1_err,Uey1_avg,Uey1_err,Uez1_avg,Uez1_err,Uix1_avg,Uix1_err,Uiy1_avg,Uiy1_err,Uiz1_avg,Uiz1_err,Pe1_avg,Pe1_err,Pi1_avg,Pi1_err,Bx1_avg,Bx1_err,By1_avg,By1_err,Bz1_avg,Bz1_err,Ne2_avg,Ne2_err,Ni2_avg,Ni2_err,Uex2_avg,Uex2_err,Uey2_avg,Uey2_err,Uez2_avg,Uez2_err,Uix2_avg,Uix2_err,Uiy2_avg,Uiy2_err,Uiz2_avg,Uiz2_err,Pe2_avg,Pe2_err,Pi2_avg,Pi2_err,Bx2_avg,Bx2_err,By2_avg,By2_err,Bz2_avg,Bz2_err,Bt1_avg,Bt1_err,Ne1_crct_avg,Ne1_crct_err,Ni1_crct_avg,Ni1_crct_err,theta_bn_avg,theta_bn_err,cos_tbn_avg,cos_tbn_err,Vs_n_nif_avg,Vs_n_nif_err,Vs_n_scf_avg,Vs_n_scf_err,Ma_nif_i_avg,Ma_nif_i_err,Ma_nif_e_avg,Ma_nif_e_err,Beta_i_avg,Beta_i_err,Beta_e_avg,Beta_e_err,Ni_omni_avg,Ni_omni_err,Ma_omni_avg,Ma_omni_err,Beta_omni_avg,Beta_omni_err,fce_med,fce_min,fce_max,fmin0,wavepow0_med,wavepow0_min,wavepow0_max,fmin1,wavepow1_med,wavepow1_min,wavepow1_max,fmin2,wavepow2_med,wavepow2_min,wavepow2_max
20160102_015400-20160102_015500,12.95358637537816,0.7539851278652043,11.062241142149157,0.49536207970317503,-474.090724097141,10.231425580197133,7.895203985560921,8.528022306602203,41.75844115946011,1.399730236221037,-443.16070426755795,3.255224298230889,25.254038564118815,8.20875618663423,25.40025170170869,2.1047944616469807,0.031263233419897805,0.0020602448766973026,0.19973567767293926,0.07985103429815889,1.9839332103729248,0.5404883259687548,-2.394069586481367,0.7850137342002517,1.4641987085342407,0.34134694646464403,49.25842733745924,1.4095895781281107,48.20317603835158,1.1180071451880154,-141.14271225458452,9.28562531957072,-121.19721650253359,9.138971197348445,-40.044081954712986,2.602443053796827,-155.95865366644216,10.623164731111052,-133.27741006209612,9.267437826405637,-43.532186883787126,3.4415585163674374,0.3567931667096332,0.022153257115248678,2.80511991400571,0.04464826793435369,-0.6921897317681994,1.1251014563280295,-11.712426049368721,1.6529906916539525,16.921492440359934,1.506093966345829,3.4367772732909274,1.0123694638086764,5.666016928690947,0.1621399391715165,5.544635227163902,0.12860027722028924,39.32251388302319,3.87167454774493,0.7735912684332529,0.04306236780898997,-378.1738886550123,27.2095130819881,-16.12193796018867,27.2095130819881,16.784011273055985,5.103256005487648,18.162231817522166,5.532625677390814,42.50037203506009,16.99094876085768,6.652286996719147,0.43838524375369964,7.7415995597839355,3.865144968032837,11.315999984741211,8.803189277648926,3.5322000980377197,5.497607231140137,285.11680433028454,225.1839363998214,406.26147900039825,0.05,0.03367041030013114,0.008389264678567966,0.03321113997919613,0.1,0.004658737883407333,0.001344731187983196,0.002409160071738352,0.2,0.0005510181992541062,0.00029643827792783444,0.0002671924873843413
20160111_053730-20160111_053830,10.56648809645888,0.14731910447041446,9.225867392409137,0.389249927143686,-490.96782659794115,14.185705728385411,-6.809213722334284,14.274755762735184,32.68200890490991,1.392472895102781,-402.3089353571323,1.0845036484006998,-6.032573312508271,2.7238713634279303,27.696257468141628,1.2745205475363184,0.01841736311999208,0.0001448495723693581,0.04033566147988817,0.0018652637460169245,2.9568025725228444,0.05533166500815716,4.504400048937116,0.13736619393793875,2.491802317755563,0.10914024217240219,53.42526658020789,1.7981849484469918,55.31288157487256,2.2849818670767736,-76.3478090674362,1.4165741111271337,-91.79113044560543,4.667974459331817,1.8266683263039496,4.981765412844953,-81.18312870312276,1.9726004510893898,-97.49340672984667,2.914435777975909,15.936976394322587,5.410605314426777,0.39278830746988674,0.015900014277993094,3.139847879762843,0.11597339924193213,7.751104627336774,1.1319072864237856,19.2236145564488,2.2017785812951334,9.815590041024345,1.236857642072164,5.936445067926966,0.18396373786977943,13.496484995679054,0.454264016441269,13.973341155392603,0.5772404230889733,75.94520407860132,1.569466208188765,0.24284974581347252,0.02661782257356324,-446.99238612091466,9.745859423520084,62.36754759409496,9.745859423520084,10.488450346088968,0.454854534497425,11.224656425274038,0.4324457980735642,2.8765778795682206,0.13302314216486022,1.3134525977058962,0.010330091548154447,9.331665992736816,0.08274782449007034,11.866665840148926,1.1556624174118042,2.7619998455047607,0.2409481257200241,661.1834115888929,506.5534222953863,814.4091559747326,0.05,0.000493102759911062,0.0004094189868981382,0.003375144541621619,0.1,0.000189992161594044,0.00018604689690560769,0.00023348078388645203,0.2,1.7772782306239488e-05,1.7452912119832644e-05,2.6891797146546835e-05
20161109_121930-20161109_122030,21.118227311856405,0.3661876841097531,19.964954318260503,1.0119034923656667,-400.8715176800956,15.099817286240828,48.0833616650881,15.986635511006916,-0.9015136517841925,5.618453728332296,-342.41373711641916,1.4345324810123943,13.70622348065136,1.615284444184563,-14.552578136214596,1.1154381595482288,0.05015761835306483,0.0009004895414851311,0.06889630857279953,0.002904184938681886,0.02088790706225804,0.469297037520872,6.067893436976841,0.2466835603633306,2.8771437917436873,0.3247893651819166,107.57862943175124,2.567429042237234,113.55692917368516,2.903643848295277,-117.9234212326749,5.707602173598708,95.51117519369016,5.570322772925147,-10.341141176807225,4.405632132302879,-129.03984606831415,4.8413216829669565,104.00377139431342,2.584655024478115,-8.186609603665383,5.907583240801846,0.4997023309054819,0.022219836629083636,3.5450052832502834,0.11530251683383072,-4.6931277343205045,0.9766505712235903,15.79967212677002,1.2308059786072938,8.309429849897112,2.636433864444072,6.715483859375831,0.6217560776660475,37.19572507089093,0.8876984703979826,39.2627452101782,1.003946033291797,66.74240523170876,2.770573532256229,0.39486564210200703,0.09218138385236851,-354.1073042160551,18.636902623261268,47.831111520150905,18.636902623261268,10.805025254342796,1.1828551147037065,11.112719594028794,1.1874095491204715,3.839557660244048,0.16184880959621964,2.795259597451639,0.05018384277185947,25.0147762298584,2.2181551456451416,14.300000190734863,2.4378793239593506,6.024186134338379,2.4649479389190674,521.4119900764601,394.1187000919474,710.5256188414365,0.05,0.002187181985162375,0.0009660595752952923,0.0014745700314340486,0.1,0.0006098363663547103,0.00039914972101702924,0.0007357477999650466,0.2,4.493534999892931e-05,3.038514093978142e-05,0.00012991177617991968
20161109_140830-20161109_140930,26.14949573007368,1.0537319568911332,24.843193608609514,0.689068080292822,-335.1666710200831,12.61061573213328,53.90173927232415,12.50227120302514,-69.38744513281792,1.1790596358754661,-324.4984895849115,2.6708724011819744,27.82381200449304,2.1595756604593657,-33.29702524480091,4.051878845126676,0.060573817177391596,0.0022343094347735707,0.39760918152135954,0.0360337922971916,-3.260472910744803,0.25548197504408116,-1.8741860560008459,0.1310601392944859,5.053750242505755,0.08624387486136227,99.32225952127838,2.117505706789834,104.65371307492244,3.698246700613973,-144.20940586291778,7.124594458558449,118.72825760592629,5.068120018254334,-25.97246012708632,1.5778199338371766,-158.38282956584013,4.668114967670042,129.41367431970158,4.7653809203978765,-26.745727597515433,1.5501931823040462,0.42765666014513254,0.012303343748919005,2.923235305837506,0.07939427554029879,-1.2697183574948991,1.505774170468016,-0.9329129622450897,1.1524683482411484,19.32178497314453,1.0564021608540142,6.299495891564314,0.29980961564869274,26.653708011485143,0.5682450146972177,28.084434688269813,0.9924460859802077,135.49866431336554,3.1988999007348116,-0.7132341092728035,0.05799589147625512,-261.5810316106993,9.421958712152398,7.464547291488221,9.421958712152398,9.491573464719398,0.5816079758180785,9.737919066007123,0.6134423837080907,25.181678236672116,2.282118737306392,3.836305710777798,0.14150493470082587,25.31102180480957,1.1865543127059937,13.731250762939453,1.0966154336929321,5.516458511352539,0.9445644021034241,435.18758843961257,365.3227445210233,530.1863561456366,0.05,0.004776797496794819,0.0018287904173123976,0.0022165885015170703,0.1,0.00040656146058352477,0.00018053948550078724,0.0006753108286291403,0.2,3.5691982677835365e-05,1.893164543494539e-05,7.851204829655366e-05
20161110_165830-20161110_165930,40.98852944811176,0.34340202276843823,13.946281127207795,0.4883397959232502,-403.90381975123364,13.51580509980662,-10.140363305092933,13.5132647056901,9.084346816408388,0.560817418992572,-372.77923993277363,1.5313999580406488,4.148193383939666,2.141411424674739,2.5821237381359814,1.1666956910272168,0.11047535988587076,0.0022934000399780245,0.060768224637948884,0.0026528927900703386,-2.145543711526053,0.10709016234984005,2.7966773169381276,0.13694786174776055,-1.1158709270613534,0.20476770291734048,148.364423028253,3.39380526917786,152.89651576224492,5.603382977129661,-140.90119460670977,4.965017098786163,84.09170964432349,5.593904513792765,-0.2935315774671555,1.3971942988395147,-163.06433251769727,2.939222061883208,95.51637885552462,3.027137786715696,4.892737995680387,3.039281248361496,0.8837385355008438,0.0360824459921821,4.663389720346214,0.18216744297615675,-10.083808490208217,2.8510921701753325,20.706250054495676,2.052224936311942,-9.769175461360387,1.4371989984319715,3.6972868104876584,0.26861279170479396,21.82040855798555,0.49913730008981283,22.486957270000897,0.8241066380485782,103.5519303111166,3.229869972597511,-0.2334681051296131,0.06899200720683633,-268.2126995689254,7.667169451672946,-71.92678775930536,7.667169451672946,12.423943106643165,0.9940637102774205,21.299107961462816,1.6652757892012415,11.172493878978498,0.4877455057348779,20.31135991641336,0.4216512504909075,21.351852416992188,8.229308128356934,9.716980934143066,7.709801197052002,3.024339199066162,5.044589519500732,325.3016354554061,299.0060887342867,1233.3150206943974,0.05,0.010631783146931743,0.006965458044461551,0.012411595057543995,0.1,0.0030733822242421873,0.0027856075944799876,0.006300487658431778,0.2,1.4304368469796237e-05,1.1629993000722929e-05,0.0023849315246854404
20161110_170930-20161110_171030,26.39573242848635,0.5921863862989554,16.359298704903043,0.7645754160773612,-399.12571751817177,11.679147042889005,2.435370971372604,9.872257303175717,12.570236289544145,2.9880912122185173,-384.2292883943272,1.5302282000050242,7.7753134886168835,0.8638682498046559,3.400023828443337,1.1454399827837372,0.08676105347123977,0.0021001185425077737,0.06951972404729764,0.0026653761735873837,5.838369028908866,0.24600695922520185,-3.852444955280849,0.19128486546057183,7.881994724273682,0.2877172658641813,86.92263565421588,1.1698894484859939,81.27750682413992,2.13789234972387,-107.91675172541947,5.610720586580149,118.85034247395267,7.23095215518201,13.604859050861341,2.711415564851793,-130.34924424842475,2.91002534376862,139.330877999403,4.417919461950652,29.414295285820838,3.4290656000126427,0.8099458479954527,0.01594793809350127,3.253594092365759,0.07727516627550332,15.15207644871303,1.3195099577678104,-23.720488684517996,2.1604566091115096,32.66951125008719,1.3530108515881454,10.538203162051358,0.4241350596423964,19.781211912953363,0.26623480663068416,18.496535156166143,0.48652576280823506,69.45396152214931,2.2641970110305474,0.35095990579020403,0.04810723996439364,-371.38227662556193,11.105556098158182,39.5611417675729,11.105556098158182,6.536887319146433,0.3616105811953997,8.303391522480645,0.42662713134349783,1.5733116757724064,0.06032054228779147,1.9635028806464556,0.047528109018177944,20.800382614135742,8.858243942260742,9.84313678741455,7.838598251342773,3.1186275482177734,5.120047569274902,831.6821746055714,579.3327517197754,1325.5724602350144,0.05,0.0023919917057288144,0.0008966279358967341,0.0009032983719301536,0.1,0.00011197850617007278,4.5474001886494886e-05,3.805228911686148e-05,0.2,3.3333040829477605e-06,1.1084990644371876e-06,2.3967597086674285e-06
20161112_122830-20161112_122930,5.244846327404746,0.030399499589188517,6.721985169637696,0.23513275187610855,-657.5154904588106,14.805992399854075,61.13874452616411,11.527228528031904,36.903653853502206,5.565268587473742,-647.6081843956359,1.345522230200651,65.24962134508682,0.9714432902933979,24.90891008424648,0.6736387825318618,0.017209059365425588,0.00028748944122577124,0.11430412992872847,0.007352473177453885,6.060578141893659,0.15434887892598192,-5.436829090118408,0.13633021304738188,3.29526230267116,0.1528062612673083,20.81727705519001,0.40164303862872863,21.453653602536605,0.6284092690620576,-390.5007729519566,18.239510641805616,226.83945918071714,7.845987115207272,71.5332026954506,8.63807069486355,-416.1156179023436,18.119353476048925,239.09380675137257,2.6323550279946355,89.74964872933444,9.912043618710602,0.16964134963147942,0.005140462352080612,1.3214452790599225,0.10537212703196212,15.101312909807477,0.7604707336184949,-18.905125754220144,0.77658649579165,6.998899868556431,0.8223222919368297,8.7834202684696,0.25643567789553945,7.084608968597343,0.13668857200199314,7.301182874146275,0.21386245337196036,74.86743322244178,2.286404044301953,0.2603591679926262,0.04683862625695955,-449.72287566199145,9.45125744405505,-12.52455582181002,9.45125744405505,6.087852773291269,0.2435086393319632,5.377516480725522,0.19407043224697687,3.7236980336608636,0.2395223158647058,0.5606213927715882,0.009365574696716238,5.229259014129639,0.33352139592170715,9.207406997680664,0.6178972125053406,1.5255554914474487,0.23289376497268677,415.39886135305153,338.31997896526474,629.165185133802,0.05,0.0009094471444085157,0.00037800160629888717,0.00018531002342375973,0.1,0.00010403083749549882,3.821879745844755e-05,6.641091292261651e-05,0.2,8.817557881980174e-06,5.866356570591282e-06,3.0136491714964357e-05
20161112_123100-20161112_123200,5.273718795468645,0.05500957136863205,6.684744156000526,0.2105955353426092,-655.285631293467,15.138244297772554,55.84201756057787,12.51574224774843,35.201009081391845,5.632742830476927,-647.9904200258205,1.4213973464049452,65.37385989044034,1.239326267405889,24.498896045853257,0.7197231616025406,0.017512532987331565,0.00021720330061721964,0.11055052387766748,0.004539031285965491,6.153275217328753,0.10159044839561403,-5.378186021532331,0.1414057041232521,3.3497849873134067,0.17766846447123083,27.07200754586455,1.368785642756247,24.885406190142678,0.8805418190123477,-210.02622453508778,13.320088549620792,188.0994970715877,10.254335079287078,-47.33166083429019,7.936087318376453,-231.45147808518283,10.047501236631351,201.04329017492563,7.141500694641324,-61.63856720677595,11.0307072369239,0.3675650023743798,0.0361832693749345,2.87697982452017,0.11464642472183766,12.717419215611049,1.5842408820326987,-22.0206846509661,2.8081874230955433,11.597917829241071,1.1923535597999837,8.83225567132362,0.2487614834161021,7.983726910212914,0.4036645879280373,7.338882671897403,0.259678023659926,65.28876155965082,3.6262180146593472,0.4180452676298211,0.05867637011446209,-632.9377215939026,27.253347042562506,35.860791374158616,27.253347042562506,8.497003411102439,0.4572170957280276,7.547130886306478,0.39030479345035834,3.56170052503331,0.14623784263795575,0.5642162130743404,0.006997824005821813,5.207547664642334,0.32861578464508057,9.226414680480957,0.6381431818008423,1.534528136253357,0.23771369457244873,789.9748555576352,436.60304372686426,889.6084132541296,0.05,0.002711132654465539,0.0017986807582514308,0.0016161165365897205,0.1,0.000600612579905855,0.00041386860658087176,0.0006030250030064199,0.2,8.082136808078364e-05,5.2863375814999636e-05,0.00047300576590632597
20161206_094230-20161206_094400,15.392719056487485,0.45605214966836377,15.536790388967741,0.6702626742346306,-359.49481589137866,15.090131177402819,13.677040630157611,20.895111429413713,49.95200056256078,4.234260665404512,-337.07285920989636,2.3037802528642453,30.827350480186773,1.8205711215122724,18.379521849900698,2.0389040791612665,0.040557937914437334,0.0011328769815602327,0.04586684277930218,0.002016578342748868,4.2613251549857,0.6141815708577895,-3.5796849727630615,0.3353765952484377,6.27172463280814,0.7430147070620816,73.50694661493694,1.403804942664911,77.58695915087353,1.9211256403496162,-104.73763397603804,4.757151047559179,68.79256436346967,3.6608670276410797,10.261046312157081,3.5412691878191738,-116.70792292208397,4.593829160428865,75.709167053539,4.882265501797509,2.5630275838002428,3.5699928788764876,0.46799344098180523,0.026347192694467305,2.082845088766923,0.05595197839949757,7.773291179112026,2.6850619188492635,-12.450504984174456,1.509554641010628,25.509043557303293,2.31667782692163,8.384960730409654,1.0206700336212127,19.858491356736,0.3792491676533547,20.96073947628729,0.5190075044735212,69.46961481950741,5.360641531878465,0.34915303211570714,0.11375946979870465,-308.8761872467555,12.69889543765296,-15.26975086879151,12.69889543765296,6.658832620903897,0.8675121317487874,6.627887321990097,0.8572047953870888,1.6395952091293722,0.07208632618369631,1.449818576278506,0.040496785018246266,18.577678680419922,0.6571744680404663,8.744643211364746,0.2477899044752121,2.127500057220459,0.19299563765525818,507.87007235828577,399.8709572225557,664.8141099118196,0.05,0.0009674481325079733,0.0004495029498617956,0.0005536338215097939,0.1,8.541108957328835e-05,4.4317083246222276e-05,0.00020089118497900867,0.2,1.2063263973010691e-05,8.816442614567442e-06,3.339490126854657e-05
20161206_094600-20161206_094700,15.445322439858154,0.4500946861131781,15.42682546076979,0.8139639310892943,-359.9233954551458,18.608375460718168,9.727530390371308,21.289681395309756,50.61420109507087,4.954845195764513,-336.87047478865514,2.6081086405943203,30.616663332407036,1.8827482888023375,18.06285281183778,2.231417053422872,0.04040181270777665,0.001472174819134563,0.04558985981935932,0.0018156004397317232,4.338721207209995,0.6297296706431021,-3.5813610894339427,0.30965584198160295,6.162743840898786,0.7541162325357668,68.37020809612673,3.9822738477840582,72.97811863460196,3.8934213823809944,-106.97740820132445,7.682317778812356,87.42569970152587,4.671554932504716,12.021105126531856,4.995347181794676,-113.08791516545419,5.608311521813069,94.94420990028722,4.903037837807965,9.181996936916423,5.354172499978409,0.42372761232682166,0.020891936511477218,2.129757104106947,0.12145901747355033,7.782849516187396,1.1257158565581136,-14.160388946533203,1.8907700043106686,21.957192284720286,1.2523450200975998,8.344462871589828,1.030115280313589,19.788461537898456,1.1525937256101177,21.122133951656398,1.1268770627077036,68.83580046397482,2.909684410004963,0.36104195008048884,0.0927792365562401,-327.91273007479356,13.263909593411174,11.433776380018896,13.263909593411174,7.078353105168681,0.9382967765938617,7.0825953560141395,0.9258475018735145,1.64555098759285,0.06553350039926786,1.4582901343686898,0.05313766563738142,18.656606674194336,0.7008749842643738,8.79821491241455,0.34147316217422485,2.1517856121063232,0.21808508038520813,453.52323426479836,399.801936384346,588.0958069512695,0.05,0.001337567168999825,0.0005072143732932124,0.0005143753737222728,0.1,0.00010940276576142834,7.605099983389613e-05,0.00019949408232618755,0.2,6.101974416190019e-06,4.357845724923922e-06,1.654094437988461e-05
